Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
BBY,Long (trail),1/12/1993,2.69328,13/12/1993,2.28996,-14.97%,-768.74,-15.37%,1856.47,5000,-768.74,9,-85.42,-14.97%,6.28%,0/0
EA,Long (trail),1/12/1993,8.5625,29/12/1993,7.25,-15.33%,-786.42,-15.73%,583.942,5000,-1555.17,20,-39.32,-15.33%,5.84%,0/0
CMCSA,Long (trail),1/12/1993,7.82143,25/1/1994,6.31993,-19.20%,-979.87,-19.60%,639.269,5000,-2535.03,39,-25.12,-19.20%,1.00%,0/0
CA,Long (trail),1/12/1993,12.1481,1/2/1994,10.637,-12.44%,-641.95,-12.84%,411.585,5000,-3176.98,44,-14.59,-12.44%,9.45%,0/0
BBBY,Long (trail),1/12/1993,4.3125,3/2/1994,3.55,-17.68%,-904.06,-18.08%,1159.42,5000,-4081.04,46,-19.65,-17.68%,2.90%,0/0
AMGN,Long (trail),1/12/1993,5.84375,7/2/1994,5.2,-11.02%,-570.8,-11.42%,855.615,5000,-4651.84,48,-11.89,-11.02%,11.23%,0/0
HST,Long (trail),1/12/1993,5.16687,2/3/1994,7.70651,49.15%,2437.63,48.75%,967.704,5000,-2214.22,64,38.09,-5.08%,86.44%,0/0
TSO,Long (trail),25/1/1994,5.1875,2/3/1994,4.75,-8.43%,-359.05,-8.93%,774.966,4020.13,-2573.26,26,-13.81,-9.64%,14.46%,0/0
PHM,Long (trail),1/12/1993,4.60938,25/3/1994,3.8625,-16.20%,-830.17,-16.60%,1084.75,5000,-3403.43,81,-10.25,-16.20%,4.75%,0/0
KLAC,Long (trail),1/12/1993,4.8742,28/3/1994,7.03492,44.33%,2196.49,43.93%,1025.81,5000,-1206.94,82,26.79,-13.40%,80.41%,0/0
MCHP,Long (trail),1/2/1994,3.44582,28/3/1994,3.30096,-4.20%,-203.2,-4.66%,1264.74,4358.05,-1410.14,39,-5.21,-10.19%,19.75%,0/0
TROW,Long (trail),1/12/1993,3.63239,29/3/1994,3.67442,1.16%,37.85,0.76%,1376.5,5000,-1372.29,83,0.46,-13.22%,26.45%,0/0
WDC,Long (trail),1/12/1993,5,30/3/1994,8.15,63.00%,3130,62.60%,1000,5000,1757.71,84,37.26,-13.75%,103.75%,0/0
CERN,Long (trail),1/12/1993,2.5,30/3/1994,2.475,-1.00%,-70,-1.40%,2000,5000,1687.71,84,-0.83,-10.00%,23.75%,0/0
XRAY,Long (trail),31/12/1993,7.33333,30/3/1994,6.26667,-14.55%,-632.88,-15.02%,574.579,4213.58,1054.83,63,-10.05,-14.55%,6.82%,0/0
HST,Long (trail),3/3/1994,7.96924,30/3/1994,6.93586,-12.97%,-730.3,-13.33%,687.365,5477.77,324.52,20,-36.52,-12.97%,8.79%,0/0
HUM,Long (trail),1/12/1993,16.625,31/3/1994,17.9,7.67%,363.46,7.27%,300.752,5000,687.98,85,4.28,-3.01%,34.59%,0/0
WDC,Long (trail),31/3/1994,8.4375,12/4/1994,7.8,-7.56%,-408.1,-7.94%,608.791,5136.67,279.88,8,-51.01,-8.89%,15.56%,0/0
JBHT,Long (trail),4/3/1994,6.1875,14/4/1994,5,-19.19%,-1076.85,-19.56%,889.976,5506.73,-796.97,29,-37.13,-19.19%,1.01%,0/0
MCHP,Long (trail),31/3/1994,3.35802,18/4/1994,3.05514,-9.02%,-483.31,-9.41%,1529.67,5136.67,-1280.28,12,-40.28,-9.02%,13.73%,0/0
FLS,Long (trail),9/2/1994,6.33333,6/5/1994,5.33333,-15.79%,-719.35,-16.24%,699.347,4429.2,-1999.63,60,-11.99,-15.79%,5.26%,0/0
KLAC,Long (trail),29/3/1994,7.13542,11/5/1994,7.23592,1.41%,56.12,1.04%,757.382,5404.24,-1943.51,30,1.87,-4.93%,26.76%,0/0
XLNX,Long (trail),31/3/1994,4.16667,17/5/1994,3.70833,-11.00%,-585.03,-11.39%,1232.8,5136.67,-2528.54,32,-18.28,-11.00%,12.50%,0/0
GPS,Long (trail),1/12/1993,5.94444,6/6/1994,5.85185,-1.56%,-97.88,-1.96%,841.121,5000,-2626.43,129,-0.76,-5.61%,23.05%,0/0
FDX,Long (trail),1/12/1993,17.875,1/8/1994,16.15,-9.65%,-502.52,-10.05%,279.72,5000,-3128.94,168,-2.99,-11.71%,12.94%,0/0
ETN,Long (trail),3/2/1994,12.751,4/8/1994,10.6958,-16.12%,-680.19,-16.61%,321.224,4095.94,-3809.13,126,-5.4,-16.12%,4.85%,0/0
LOW,Long (trail),1/12/1993,3.27341,5/8/1994,3.77496,15.32%,746.11,14.92%,1527.46,5000,-3063.02,172,4.34,-1.43%,44.15%,0/0
